Dataset_ID	Sample_ID	Platform_ID	replicate	tissue_source
GSE10797	GSM272671	GPL571	1	tumor epithelium from breast cancer patient
GSE10797	GSM272672	GPL571	1	stromal cells from breast cancer patient
GSE10797	GSM272673	GPL571	2	tumor epithelium from breast cancer patient
GSE10797	GSM272674	GPL571	2	stromal cells from breast cancer patient
GSE10797	GSM272675	GPL571	3	tumor epithelium from breast cancer patient
GSE10797	GSM272676	GPL571	3	stromal cells from breast cancer patient
GSE10797	GSM272677	GPL571	4	tumor epithelium from breast cancer patient
GSE10797	GSM272678	GPL571	4	stromal cells from breast cancer patient
GSE10797	GSM272679	GPL571	5	tumor epithelium from breast cancer patient
GSE10797	GSM272680	GPL571	5	stromal cells from breast cancer patient
GSE10797	GSM272681	GPL571	6	tumor epithelium from breast cancer patient
GSE10797	GSM272682	GPL571	6	stromal cells from breast cancer patient
GSE10797	GSM272683	GPL571	7	tumor epithelium from breast cancer patient
GSE10797	GSM272684	GPL571	7	stromal cells from breast cancer patient
GSE10797	GSM272685	GPL571	8	tumor epithelium from breast cancer patient
GSE10797	GSM272686	GPL571	8	stromal cells from breast cancer patient
GSE10797	GSM272687	GPL571	9	tumor epithelium from breast cancer patient
GSE10797	GSM272688	GPL571	9	stromal cells from breast cancer patient
GSE10797	GSM272689	GPL571	10	tumor epithelium from breast cancer patient
GSE10797	GSM272690	GPL571	10	stromal cells from breast cancer patient
GSE10797	GSM272691	GPL571	11	tumor epithelium from breast cancer patient
GSE10797	GSM272692	GPL571	11	stromal cells from breast cancer patient
GSE10797	GSM272693	GPL571	12	tumor epithelium from breast cancer patient
GSE10797	GSM272694	GPL571	12	stromal cells from breast cancer patient
GSE10797	GSM272695	GPL571	13	tumor epithelium from breast cancer patient
GSE10797	GSM272696	GPL571	13	stromal cells from breast cancer patient
GSE10797	GSM272697	GPL571	14	tumor epithelium from breast cancer patient
GSE10797	GSM272698	GPL571	14	stromal cells from breast cancer patient
GSE10797	GSM272699	GPL571	15	tumor epithelium from breast cancer patient
GSE10797	GSM272700	GPL571	15	stromal cells from breast cancer patient
GSE10797	GSM272701	GPL571	16	tumor epithelium from breast cancer patient
GSE10797	GSM272702	GPL571	16	stromal cells from breast cancer patient
GSE10797	GSM272703	GPL571	17	tumor epithelium from breast cancer patient
GSE10797	GSM272704	GPL571	17	stromal cells from breast cancer patient
GSE10797	GSM272705	GPL571	18	tumor epithelium from breast cancer patient
GSE10797	GSM272706	GPL571	18	stromal cells from breast cancer patient
GSE10797	GSM272707	GPL571	19	tumor epithelium from breast cancer patient
GSE10797	GSM272708	GPL571	19	stromal cells from breast cancer patient
GSE10797	GSM272709	GPL571	20	tumor epithelium from breast cancer patient
GSE10797	GSM272710	GPL571	20	stromal cells from breast cancer patient
GSE10797	GSM272711	GPL571	21	tumor epithelium from breast cancer patient
GSE10797	GSM272712	GPL571	21	stromal cells from breast cancer patient
GSE10797	GSM272713	GPL571	22	tumor epithelium from breast cancer patient
GSE10797	GSM272714	GPL571	22	stromal cells from breast cancer patient
GSE10797	GSM272715	GPL571	23	tumor epithelium from breast cancer patient
GSE10797	GSM272716	GPL571	23	stromal cells from breast cancer patient
GSE10797	GSM272717	GPL571	24	tumor epithelium from breast cancer patient
GSE10797	GSM272718	GPL571	24	stromal cells from breast cancer patient
GSE10797	GSM272719	GPL571	25	tumor epithelium from breast cancer patient
GSE10797	GSM272720	GPL571	25	stromal cells from breast cancer patient
GSE10797	GSM272721	GPL571	26	tumor epithelium from breast cancer patient
GSE10797	GSM272722	GPL571	26	stromal cells from breast cancer patient
GSE10797	GSM272723	GPL571	27	tumor epithelium from breast cancer patient
GSE10797	GSM272724	GPL571	27	stromal cells from breast cancer patient
GSE10797	GSM272725	GPL571	28	tumor epithelium from breast cancer patient
GSE10797	GSM272726	GPL571	28	stromal cells from breast cancer patient
GSE10797	GSM272727	GPL571	normal_epithelial_rep1	epithelium from normal patient
GSE10797	GSM272728	GPL571	normal_stroma_rep1	stromal cells from normal patient
GSE10797	GSM272729	GPL571	normal_epithelial_rep2	epithelium from normal patient
GSE10797	GSM272730	GPL571	normal_stroma_rep2	stromal cells from normal patient
GSE10797	GSM272731	GPL571	normal_epithelial_rep3	epithelium from normal patient
GSE10797	GSM272732	GPL571	normal_stroma_rep3	stromal cells from normal patient
GSE10797	GSM272733	GPL571	normal_epithelial_rep4	epithelium from normal patient
GSE10797	GSM272734	GPL571	normal_stroma_rep4	stromal cells from normal patient
GSE10797	GSM272735	GPL571	normal_epithelial_rep5	epithelium from normal patient
GSE10797	GSM272736	GPL571	normal_stroma_rep5	stromal cells from normal patient
