Dataset_ID	Sample_ID	Platform_ID	histology	disease_state	specimen
GSE20437	GSM512539	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512540	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512541	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512542	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512543	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512544	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512545	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512546	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512547	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512548	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512549	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512550	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512551	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512552	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512553	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512554	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512555	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512556	GPL96	normal breast epithelium sample 	control	Reduction Mammoplasty
GSE20437	GSM512557	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512558	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512559	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512560	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512561	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512562	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512563	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512564	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512565	GPL96	histologically normal breast epithelium from ER+ breast cancer patient sample 	breast cancer	ER+ Breast Cancer
GSE20437	GSM512566	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512567	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512568	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512569	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512570	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512571	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512572	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512573	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512574	GPL96	histologically normal breast epithelium from ER- breast cancer patient sample 	breast cancer	ER- Breast Cancer
GSE20437	GSM512575	GPL96	histologically normal breast epithelium from prophylactic mastectomy patient sample 	control	Prophylactic Mastectomy
GSE20437	GSM512576	GPL96	histologically normal breast epithelium from prophylactic mastectomy patient sample 	control	Prophylactic Mastectomy
GSE20437	GSM512577	GPL96	histologically normal breast epithelium from prophylactic mastectomy patient sample 	control	Prophylactic Mastectomy
GSE20437	GSM512578	GPL96	histologically normal breast epithelium from prophylactic mastectomy patient sample 	control	Prophylactic Mastectomy
GSE20437	GSM512579	GPL96	histologically normal breast epithelium from prophylactic mastectomy patient sample 	control	Prophylactic Mastectomy
GSE20437	GSM512580	GPL96	histologically normal breast epithelium from prophylactic mastectomy patient sample 	control	Prophylactic Mastectomy
